ID,Name,Number,Email,Check in Date,Stay Duration,No. of Rooms, Room Types,Total Cost,Deposit,Advanced
1575220097,Ryan Kennedy, 0863215378, ryan.ken12@gmail.com,2023-12-02,6,1,Bring the Family Suite_5_false/,285.0,42.75,true
1575220848,Tom Smith, 0872639123, smithy73@yahoo.com,2023-12-04,12,2,Bachelor Suite_1_false/Two to Tango Suite_2_false/,1140.0,171.0,true
1575221126,Andrew Walsh, 0862539163, andsh12@yahoo.com,2023-12-04,12,1,Two to Tango Suite_2_false/,570.0,85.5,true
1575222269,Graham Doyle, 0841364772, doyle21@gmail.com,2020-10-12,3,1,Bachelor Suite_1_false/,142.5,21.375,true
1575222496,Gavin Murphy, 0830253661, gavy.mur6@yahoo.com,2020-12-20,12,2,Two to Tango Suite_2_false/Bachelor Suite_1_false/,1200.0,180.0,false
1575222526,Mark Mccarthy, 0853675413, marky.mc1@gmail.com,2020-12-31,2,1,Bachelor Suite_1_false/,95.0,14.25,true
1575222573,Derek Smith, 0862187921, dsmith63@gmail.com,2022-03-29,12,2,Bring the Family Suite_5_false/Bachelor Suite_1_false/,1140.0,171.0,true
1575222648,Andy Murray, 0842784901, murryA@yahoo.com,2021-05-04,7,1,Bachelor Suite_1_false/,350.0,52.5,false
1575219694,Steve Murray, 0856238970, Stevy120@gmail.com,2022-12-01,7,1,Bachelor Suite_1_false/,332.5,49.875,true
1575223503,Jose Sandoval, 0879012673, josesand@yahoo.com,2023-04-04,7,1,Bring the Family Suite_5_false/,332.5,49.875,true
1575223858,Edmund Gregory, ,r,2023-03-03,6,2,Bring the Family Suite_5_false/Bring the Family Suite_5_false/,570.0,85.5,true
1575224046,Dominick Malone, 08738192031, domalone09@gmail.com,2023-04-04,7,2,Two to Tango Suite_2_false/Bring the Family Suite_5_false/,700.0,105.0,false
1575224075,Carlos Turner, 0857290473, turner.boi69@gmail.com,2023-03-03,5,1,Two to Tango Suite_2_false/,237.5,35.625,true
1575224101,Darlene Bell, 0821379201, belld90@yahoo.com,2034-03-03,5,2,Two to Tango Suite_2_false/Bachelor Suite_1_false/,475.0,71.25,true
1575224167,Franklin Vasquez, 0858920123, frankvas48@gmail.com,2023-03-03,5,2,Bachelor Suite_1_false/Bachelor Suite_1_false/,475.0,71.25,true
1575224191,Maurice Craig, 0851281963, maurec@yahoo.com,2023-03-03,5,1,Bachelor Suite_1_false/,237.5,35.625,true
1575224219,Shannon Reese, 0842139703, shannon.r701@gmail.com,2023-03-03,5,1,Bring the Family Suite_5_false/,237.5,35.625,true
1575224263,Grace Park, 0874216891, park.g99@gmail.com,2039-02-03,10,2,Bring the Family Suite_5_false/Bring the Family Suite_5_false/,950.0,142.5,true
1575224392,Karen Lowe, 0854206969, k.low420@gmail.com,2020-03-03,1,2,Two to Tango Suite_2_false/Bachelor Suite_1_false/,100.0,15.0,false
1575224421,Erika Clarke, 0821678218, erika99@gmail.com,2023-03-03,2,1,Bring the Family Suite_5_false/,100.0,15.0,false
1575224472,Ryan Kennedy, 0872579203, r.keny7@gmail.com,2023-03-03,3,1,Two to Tango Suite_2_false/,150.0,22.5,false
1575224491,Eddie Walsh, 0842980326, waldie2@gmail.com,2030-03-03,6,1,Bring the Family Suite_5_false/,300.0,45.0,false
1575225468,Maggie Elliott, 0827896380, magelli@gmail.com,2020-03-03,9,1,Two to Tango Suite_2_false/,450.0,67.5,false
